code,name,预低
601118,海南橡胶,-2.469933
000713,丰乐种业,-2.5195274
600354,敦煌种业,-2.4394932
002556,辉隆股份,-2.2801294
600313,农发种业,-2.4773378
600598,北大荒,-2.7881403
600359,新农开发,-2.4713407
600108,亚盛集团,-2.5162554
601952,苏垦农发,-2.7581077
600883,博闻科技,-2.0608711
600371,万向德农,-2.403165
600540,新赛股份,-2.043016
000998,隆平高科,-2.0349302
002041,登海种业,-1.9332138
002772,众兴菌业,-2.3953876
000663,永安林业,-2.8768392
000592,平潭发展,-3.553691
002679,福建金森,-2.737327
600265,景谷林业,-2.6466417
002299,圣农发展,-2.6556363
002234,民和股份,-2.3222241
002458,益生股份,-2.0879812
603717,天域生物,-2.524691
002714,牧原股份,-2.5439286
600097,开创国际,-2.2709599
002746,仙坛股份,-2.0515637
603477,巨星农牧,-3.3741226
605296,神农集团,-3.7746515
000735,罗 牛 山,-3.2460241
002688,金河生物,-2.6299577
603566,普莱柯,-3.2061753
000798,中水渔业,-2.3372555
002069,獐子岛,-2.8507848
002982,湘佳股份,-3.9273024
600975,新五丰,-3.6834664
600201,生物股份,-2.3843184
002157,正邦科技,-2.5223236
600195,中牧股份,-2.5148878
002321,华英农业,-2.4872122
600965,福成股份,-2.5534353
002868,绿康生化,-3.4443831
001201,东瑞股份,-2.9064379
600467,好当家,-2.5845795
600257,大湖股份,-2.8479471
000048,京基智农,-2.8960376
603718,海利生物,-3.1720228
002891,中宠股份,-3.6705418
002286,保龄宝,-2.3603091
600737,中粮糖业,-2.8824043
003030,祖名股份,-1.8346496
002481,双塔食品,-2.351594
000911,广农糖业,-2.458444
001338,永顺泰,-2.457584
000930,中粮科技,-5.24772
600191,华资实业,-3.0288606
600251,冠农股份,-2.521552
603336,宏辉果蔬,-2.886938
000972,中基健康,-4.8993974
002311,海大集团,-2.705893
002696,百洋股份,-2.537426
001313,粤海饲料,-2.6087036
603668,天马科技,-2.53295
002100,天康生物,-2.635263
000876,新 希 望,-2.2637954
002567,唐人神,-2.8639798
603609,禾丰股份,-2.1040344
603151,邦基科技,-2.463265
001366,播恩集团,-2.648851
002385,大北农,-1.1110687
002548,金新农,-2.8988743
000702,正虹科技,-2.0770717
000019,深粮控股,-2.8231277
600127,金健米业,-3.9403906
002852,道道全,-0.5540699
000505,京粮控股,-3.9014168
600811,东方集团,-3.4533973
603182,嘉华股份,-1.829836
000638,万方发展,-2.5151343
601011,宝泰隆,-3.3255897
600408,安泰集团,-3.2853332
600740,山西焦化,-2.9184618
000723,美锦能源,-3.2763352
600792,云煤能源,-4.782903
601015,陕西黑猫,-4.212611
601088,中国神华,-2.6065855
600925,苏能股份,-2.7840343
601225,陕西煤业,-2.9286628
002128,电投能源,-2.8508797
600188,兖矿能源,-2.5908751
000552,甘肃能化,-2.7702613
600758,辽宁能源,-2.1558266
600121,郑州煤电,-3.2514796
600508,上海能源,-2.6865354
600123,兰花科创,-2.8950324
600395,盘江股份,-2.62052
601898,中煤能源,-2.8873081
601001,晋控煤业,-2.8917837
000937,冀中能源,-2.9701924
600726,华电能源,-2.8474064
601918,新集能源,-3.670897
600348,华阳股份,-2.9765182
000983,山西焦煤,-2.8452601
600985,淮北矿业,-2.9446507
600546,山煤国际,-2.9138536
601101,昊华能源,-4.01401
601666,平煤股份,-3.0853076
601699,潞安环能,-3.2661638
600971,恒源煤电,-3.7909293
600403,大有能源,-2.822473
600997,开滦股份,-3.1859517
600397,安源煤业,-2.755075
000571,新大洲A,-1.4869639
603113,金能科技,-1.5871035
600256,广汇能源,-3.2896838
603393,新天然气,-3.1613832
600759,洲际油气,-3.329074
600871,石化油服,-3.1229444
600968,海油发展,-3.094283
600339,中油工程,-3.818099
600583,海油工程,-3.211597
000968,蓝焰控股,-3.115767
002554,惠博普,-3.3890681
600938,中国海油,-4.1452065
002207,准油股份,-7.630449
002828,贝肯能源,-5.1054454
603727,博迈科,-3.5810447
603619,XD中曼石,-6.5069103
601808,中海油服,-3.0652242
002629,仁智股份,-2.9347029
600955,维远股份,-2.1410103
600746,江苏索普,-2.0372787
600989,宝丰能源,-2.1415715
600623,华谊集团,-1.6412305
000691,亚太实业,-2.0535226
000830,鲁西化工,-2.0985265
000990,诚志股份,-1.9598302
002469,三维化学,-1.7805111
603227,雪峰科技,-2.4984946
603276,恒兴新材,-1.8195412
002109,兴化股份,-2.408846
002274,华昌化工,-1.6274663
600423,柳化股份,-1.9236015
603938,三孚股份,-2.1520247
600722,金牛化工,-1.7414628
600610,中毅达,-2.2742927
600844,丹化科技,-1.9064764
001217,华尔泰,-2.2386627
600319,亚星化学,-1.8637902
000818,航锦科技,-2.542745
603213,镇洋发展,-2.588418
601568,北元集团,-1.9610571
600618,氯碱化工,-1.8812946
600935,华塑股份,-1.879178
601678,滨化股份,-2.2182927
002386,天原股份,-1.8024125
600075,新疆天业,-2.3910093
000635,英 力 特,-1.9453386
601216,君正集团,-1.8900508
000510,新金路,-2.3936186
002053,云南能投,-3.4774227
603299,苏盐井神,-2.30895
601065,江盐集团,-2.365943
603067,振华股份,-2.845675
003017,大洋生物,-2.549735
600929,雪天盐业,-2.2567234
600328,中盐化工,-2.0894938
600714,金瑞矿业,-2.651029
600367,红星发展,-2.3848243
600409,三友化工,-2.3022668
000707,双环科技,-2.265521
000683,远兴能源,-2.7342634
000822,山东海化,-1.9925159
002601,龙佰集团,-2.5273247
002136,安 纳 达,-2.0164723
002145,中核钛白,-2.6439219
000545,金浦钛业,-2.104869
600586,金晶科技,-2.4157782
002211,宏达新材,-3.809855
603281,江瀚新材,-2.8400917
002909,集泰股份,-2.5632954
605399,晨光新材,-6.096501
600596,新安股份,-2.6012034
603260,合盛硅业,-3.137249
603155,新亚强,-2.6577997
605366,宏柏新材,-6.5785327
603188,亚邦股份,-5.234439
600352,浙江龙盛,-1.5825279
002440,闰土股份,-1.8942133
603980,吉华集团,-1.7050378
605566,福莱蒽特,-1.6439662
002054,德美化工,-1.7140833
603172,万丰股份,-2.3775392
603790,雅运股份,-1.8331395
603360,百傲化学,-4.20717
002734,利民股份,-1.9705702
600486,扬农化工,-2.0683432
002215,诺 普 信,-2.5813427
002749,国光股份,-1.8770885
600731,湖南海利,-2.1066601
603639,海利尔,-1.4366382
603086,先达股份,-1.7348932
002258,利尔化学,-2.3458076
002391,长青股份,-1.525909
003042,中农联合,5.3129582
002250,联化科技,-2.1090357
600389,江山股份,-1.9148685
603599,广信股份,-2.21061
603810,丰山集团,-1.5540401
603585,苏利股份,-1.8141648
000553,安道麦A,-1.9800907
603970,中农立华,-2.125605
001231,农心科技,-2.1223588
605033,美邦股份,-1.8821641
002513,蓝丰生化,-3.9533644
002942,新农股份,-2.2153044
002496,辉丰股份,-2.8297677
003002,壶化股份,-3.784277
002683,广东宏大,-2.4788017
002096,易普力,-2.744762
002360,同德化工,-2.5192747
603977,国泰集团,-2.5254092
002783,凯龙股份,-2.5693698
002226,江南化工,-2.262784
002917,金奥博,-2.4988303
002246,北化股份,-3.8466883
002037,保利联合,-4.1195455
002827,高争民爆,-2.2214007
000902,新洋丰,-1.9263943
002588,史丹利,-2.295539
002539,云图控股,-1.8067315
002538,司尔特,-1.3200576
002999,天禾股份,-2.1520863
002170,芭田股份,-2.2601552
002470,金正大,-1.5483341
002312,川发龙蟒,-3.4754877
600096,云天化,-0.3584287
603077,和邦生物,-3.0501342
600141,兴发集团,-2.1005511
002895,川恒股份,-2.7509933
600470,六国化工,-1.9639212
600331,宏达股份,-2.6732383
000422,湖北宜化,-3.0218768
600078,澄星股份,-2.6797118
603505,金石资源,-1.9340891
600160,巨化股份,-2.350831
603379,三美股份,-1.9889266
600378,昊华科技,-3.0715766
002326,永太科技,-2.3242812
605020,永和股份,-2.1366715
002407,多氟多,-2.7550683
002915,中欣氟材,-2.4687366
600299,安迪苏,-1.693698
600873,梅花生物,-1.5586249
002562,兄弟科技,-1.40079
603020,爱普股份,-1.6101671
002597,金禾实业,-1.7582723
600866,星湖科技,-1.9819123
603079,圣达生物,-1.7438353
605077,华康股份,-2.1000428
603968,醋化股份,-1.7329502
603739,蔚蓝生物,-1.8351063
605016,百龙创园,-1.7281519
000893,亚钾国际,-3.1738682
000792,盐湖股份,-1.9721993
002545,东方铁塔,-2.062622
000408,藏格矿业,-2.3749785
603010,万盛股份,-1.9383253
603722,阿科力,-2.166593
002637,赞宇科技,-1.972951
603822,嘉澳环保,-3.5113235
002810,山东赫达,-2.7811599
002648,卫星化学,-2.3142586
000881,中广核技,-2.1695151
603181,皇马科技,-2.0976295
002666,德联集团,-2.0465093
600273,嘉化能源,-1.9772874
603948,建业股份,-2.355739
603867,新化股份,-2.0257254
002669,康达新材,-2.9541454
600500,中化国际,-2.1359715
603681,永冠新材,-2.0024252
001218,丽臣实业,-2.1140692
603916,苏博特,-2.5018225
002971,和远气体,-2.2350895
603125,常青科技,-2.168291
002453,华软科技,-3.7943254
603217,元利科技,-2.1801035
603065,宿迁联盛,-2.2821898
002430,杭氧股份,-2.6379142
002809,红墙股份,-2.0673282
603683,晶华新材,-2.2268581
002591,恒大高新,-2.3108964
002802,洪汇新材,-2.1896343
603051,鹿山新材,-3.003642
600727,鲁北化工,-2.1193
603255,鼎际得,-2.3454843
002455,百川股份,-2.4862018
000912,泸天化,-2.5384746
000731,四川美丰,-1.7572838
600426,华鲁恒升,-2.6884012
600227,赤天化,-4.3801093
600691,阳煤化工,-2.646957
002319,乐通股份,-2.373352
000565,渝三峡Ａ,-2.865849
603823,百合花,-2.690147
603110,东方材料,-5.8456464
603192,汇得科技,-2.2216587
600230,沧州大化,-1.8420343
002165,红 宝 丽,-1.959178
603041,美思德,-1.7954539
600309,万华化学,-1.9079617
002497,雅化集团,-3.2294831
603725,天安新材,-1.8253006
002443,金洲管道,-5.796978
002318,久立特材,-2.480575
600399,抚顺特钢,-2.5875936
000825,太钢不锈,-1.9708666
600507,方大特钢,-1.8669565
002478,常宝股份,-2.2501037
000708,中信特钢,-2.3628702
603995,甬金股份,-3.6304097
603191,望变电气,-2.600111
600117,西宁特钢,-2.463081
002075,沙钢股份,-5.288985
000778,新兴铸管,-3.215208
600282,南钢股份,-2.5261002
000959,首钢股份,-2.705392
000709,河钢股份,-2.6349506
600782,新钢股份,-3.7899776
601686,友发集团,-2.1835074
000898,鞍钢股份,-2.7116418
600808,马钢股份,-2.31218
600022,山东钢铁,-2.5123634
600019,宝钢股份,-3.3046885
600126,杭钢股份,-2.6967664
601005,重庆钢铁,-3.092451
600010,包钢股份,-2.6793818
600581,八一钢铁,-3.2812214
600307,酒钢宏兴,-2.9075298
603878,武进不锈,-2.741004
601003,柳钢股份,-2.8496642
000761,本钢板材,-3.3937116
600569,安阳钢铁,-2.7232318
000932,华菱钢铁,-2.928401
600231,凌钢股份,-3.1412568
002110,三钢闽光,-3.2225118
000717,中南股份,-2.877306
600516,方大炭素,-2.5489163
001203,大中矿业,-2.6251597
000629,钒钛股份,-2.6515546
000655,金岭矿业,-2.9706435
600295,鄂尔多斯,-2.821844
600382,广东明珠,-2.0638041
601121,宝地矿业,-2.0094557
000923,河钢资源,-2.8749866
601969,海南矿业,-2.4239898
603978,深圳新星,-6.4978857
000969,安泰科技,-1.7643323
603045,福达合金,-2.3977332
601137,博威合金,-2.4797955
605158,华达新材,-2.7301722
600255,鑫科材料,-2.289117
000633,合金投资,-2.0116
000795,英洛华,-1.9542351
600366,宁波韵升,-2.1051726
000970,中科三环,-2.0776408
603256,宏和科技,-3.1126833
000012,南  玻Ａ,-2.246418
002080,中材科技,-2.2861679
603601,再升科技,-2.3423846
002613,北玻股份,-3.866571
600293,三峡新材,-2.4903107
600819,耀皮玻璃,-2.6041503
600176,中国巨石,-2.1692305
605006,山东玻纤,-2.2485719
601636,旗滨集团,-2.449327
002201,正威新材,-2.7115493
002457,青龙管业,-5.518224
603856,东宏股份,-1.9264925
002641,公元股份,-2.1077142
002694,顾地科技,-2.0528147
002372,伟星新材,-2.2329397
603616,韩建河山,-3.3936644
002205,国统股份,-2.620037
605122,四方新材,-2.955534
000935,四川双马,-1.637468
003037,三和管桩,-2.0457988
600425,青松建化,-2.002344
002233,塔牌集团,-2.0286222
002671,龙泉股份,-1.6156598
600585,海螺水泥,-2.2613242
000401,冀东水泥,-1.9786965
600668,尖峰集团,-2.0733914
000672,上峰水泥,-2.2207355
000877,天山股份,-1.97519
000789,万年青,-2.3214264
601992,金隅集团,-2.3793252
600801,华新水泥,-2.0436864
600449,宁夏建材,-2.36183
002596,海南瑞泽,-5.634481
600678,四川金顶,4.0367217
600802,福建水泥,-2.5080585
002302,西部建设,-2.203711
600326,西藏天路,-3.818471
605318,法狮龙,-2.505734
002247,聚力文化,-1.8599836
002785,万里石,-2.4009538
001296,长江材料,-1.9959966
002398,垒知集团,-2.589982
002043,兔 宝 宝,-2.5723758
002333,罗普斯金,-2.6152077
002718,友邦吊顶,-8.115723
000786,北新建材,-2.3708966
000055,方大集团,-2.394207
002791,坚朗五金,-3.1836648
001212,中旗新材,-2.9476233
603038,华立股份,6.0324426
603378,亚士创能,-3.481604
002652,扬子新材,-2.6510382
002271,东方雨虹,-3.58154
603737,三棵树,-4.437599
000619,海螺新材,-2.3771098
002392,北京利尔,-1.7201408
002088,鲁阳节能,-2.6183605
002225,濮耐股份,-2.0033684
002066,瑞泰科技,-3.0701094
000546,金圆股份,-3.252637
603316,诚邦股份,-1.2055874
605178,时空科技,-1.9914886
603137,恒尚节能,-1.852373
002856,美芝股份,-2.7778344
002775,文科股份,-2.85115
001267,汇绿生态,-2.3932867
601886,江河集团,-2.2956
002830,名雕股份,-2.1041074
002081,金 螳 螂,-2.3531363
002620,瑞和股份,-1.777299
002963,豪尔赛,-2.4178429
002431,棕榈股份,-2.7441974
605289,罗曼股份,-0.7297705
605287,德才股份,-1.9283465
603030,全筑股份,-2.7075338
002713,东易日盛,-2.1827383
002663,普邦股份,-2.1656613
002789,建艺集团,-2.360387
002163,海南发展,-2.2954545
002989,中天精装,-3.80866
002375,亚厦股份,-2.1695552
603955,大千生态,-1.991038
000010,美丽生态,-1.7775071
600193,创兴资源,-1.8668426
002482,广田集团,-2.253408
605303,园林股份,-2.962861
002949,华阳国际,-2.5567894
002811,郑中设计,-2.3960886
603018,华设集团,-3.3156185
600667,太极实业,-2.432518
603153,上海建科,-3.1355634
603357,设计总院,-2.0384724
603909,建发合诚,-0.20374984
002116,中国海诚,-2.858491
603458,勘设股份,-2.3595881
600629,华建集团,-2.412559
603860,中公高科,-3.539287
603017,中衡设计,-2.4057503
002883,中设股份,-2.528638
600720,中交设计,-2.2041109
003013,地铁设计,-2.257987
000779,甘咨询,-2.6666431
000032,深桑达Ａ,-5.3996496
600970,中材国际,-2.189865
603929,亚翔集成,-2.8977504
600496,精工钢构,-2.2671094
601133,柏诚股份,-2.7741313
000065,北方国际,-2.2442756
002051,中工国际,-2.2287512
605167,利柏特,-2.183357
000928,中钢国际,-3.4242196
601226,华电重工,-1.9805535
002135,东南网架,-2.6148486
601117,中国化学,-2.4237957
002140,东华科技,-2.205863
600477,杭萧钢构,-2.2904134
603637,镇海股份,-2.1482396
002743,富煌钢构,-2.4655333
002593,日上集团,-2.1429486
601618,中国中冶,-2.2587109
601068,中铝国际,-3.1750169
603163,圣晖集成,-2.5186796
605598,上海港湾,-2.260627
603098,森特股份,-1.9524525
003001,中岩大地,-2.6896772
002323,雅博股份,-2.715715
002542,中化岩土,-2.9880705
002541,鸿路钢构,-4.171426
000628,高新发展,5.260307
601668,中国建筑,-2.6457329
600248,陕建股份,-3.2925286
600491,龙元建设,-2.4862747
600170,上海建工,-2.3679686
600939,重庆建工,0.32945997
601789,宁波建工,-1.3930879
002761,浙江建投,-3.360993
600820,隧道股份,-2.331318
002062,宏润建设,-2.3422236
600512,腾达建设,-2.212146
600284,浦东建设,-2.017922
601611,中国核建,-2.3129272
600502,安徽建工,-3.1084914
601186,中国铁建,-3.9583101
002061,浙江交科,-1.937935
601868,中国能建,-1.5171319
601390,中国中铁,-2.676835
603176,汇通集团,-2.4802332
002941,新疆交建,-3.0966663
603815,交建股份,-3.0581799
002307,北新路桥,-3.2652326
002060,广东建工,-2.4689794
600039,四川路桥,-1.848713
600853,龙建股份,-2.9510417
002628,成都路桥,5.5294437
601669,中国电建,-2.3673267
601800,中国交建,-4.243412
000498,山东路桥,-2.2769475
600133,东湖高新,-2.7631521
603843,正平股份,-2.298369
000159,国际实业,-3.9987326
002347,泰尔股份,-7.6286235
000595,宝塔实业,-3.333424
603699,纽威股份,-3.3541102
600114,东睦股份,-2.6429515
603969,银龙股份,-2.1823993
603667,五洲新春,-3.4238768
002438,江苏神通,-2.6688142
000039,中集集团,-1.9007564
002445,中南文化,-2.019227
601177,杭齿前进,-2.5259352
002843,泰嘉股份,-4.6675
601002,晋亿实业,-2.154108
603270,金帝股份,-2.7752714
002342,巨力索具,-2.4179802
600592,龙溪股份,-2.9544668
600558,大西洋,-2.4808168
002871,伟隆股份,-2.849413
002026,山东威达,-2.476974
000777,中核科技,-2.790576
002795,永和智控,-2.3327742
002877,智能自控,-2.7662902
002896,中大力德,-3.0462952
603915,国茂股份,-3.6940942
603308,应流股份,-3.1619678
605100,华丰股份,-2.4206562
600992,贵绳股份,-3.9894729
002150,通润装备,-2.409346
002132,恒星科技,-2.2554283
002164,宁波东力,-3.3306918
600860,京城股份,-2.4187412
002514,宝馨科技,-3.1477184
002931,锋龙股份,-2.840971
603278,大业股份,-2.5226655
603028,赛福天,-2.4570947
002633,申科股份,-2.8967085
600421,华嵘控股,-2.5449195
600243,青海华鼎,-4.186865
001696,宗申动力,-3.587988
603757,大元泵业,-2.1195006
002884,凌霄泵业,-1.9344457
002444,巨星科技,-2.0857286
603201,常润股份,-1.6945825
002598,山东章鼓,-2.05836
603331,百达精工,-2.2909322
603131,上海沪工,-2.553575
002530,金财互联,-2.986134
600343,航天动力,-2.6573248
603269,海鸥股份,-2.6428933
605060,联德股份,-2.0511146
603617,君禾股份,-1.8241078
002272,川润股份,-3.4570065
603090,宏盛股份,-2.0959125
603662,柯力传感,-3.895834
002819,东方中科,-1.7985591
002767,先锋电子,-1.9936756
603100,川仪股份,-2.495144
002058,威尔泰,-2.895485
002175,东方智造,-1.7345909
002849,威星智能,-1.8079647
603700,宁水集团,-1.83391
605056,咸亨国际,-2.9891872
002685,华东重机,-3.1336727
002760,凤形股份,-2.444087
002046,国机精工,-2.3011408
600172,黄河旋风,-2.2327993
002282,博深股份,-2.1820095
000410,沈阳机床,-2.4060688
000837,秦川机床,-2.5168347
002943,宇晶股份,-2.6403747
003025,思进智能,-1.7634674
002903,宇环数控,-3.5053902
002248,华东数控,-3.3458285
002559,亚威股份,-2.129455
603088,宁波精达,-2.012826
601882,海天精工,-2.6803098
002122,汇洲智能,-2.1614227
002520,日发精机,-2.8443522
002158,汉钟精机,-1.9725461
000811,冰轮环境,-2.4433017
603339,四方科技,-2.0610538
603277,银都股份,-2.056192
603912,佳力图,-2.1887512
600202,哈空调,-1.92831
002639,雪人股份,-2.0315475
000530,冰山冷热,-2.141028
603187,海容冷链,-1.9736353
002686,亿利达,-2.4825811
601369,陕鼓动力,-2.7575374
603611,诺力股份,-2.5649638
002131,利欧股份,-2.5808253
000816,智慧农业,-2.4485407
000528,柳    工,-2.9675817
000425,徐工机械,-2.607593
605305,中际联合,-2.308115
600031,三一重工,-2.1481
000680,山推股份,-2.163473
603338,浙江鼎力,-2.193458
605389,长龄液压,-1.7040325
603280,南方路机,-2.343804
603638,艾迪精密,-2.4503565
002097,山河智能,-2.6109319
001226,拓山重工,-1.962257
000157,中联重科,-1.765051
600815,厦工股份,-2.1082454
601100,恒立液压,-2.2987638
600984,建设机械,-2.9211912
600761,安徽合力,-2.140979
603298,杭叉集团,-2.4978843
600560,金自天正,-2.5558963
601106,中国一重,-2.5306401
603036,如通股份,-2.628396
001332,锡装股份,-2.5451422
000852,石化机械,-2.0700488
600169,太原重工,-2.1118965
002204,大连重工,-1.9897356
600980,北矿科技,-2.3984756
600320,振华重工,-2.3367672
002483,润邦股份,-2.346878
002353,杰瑞股份,-2.550765
603135,中重科技,-2.0014558
601399,国机重装,-2.112506
002523,天桥起重,-2.4936981
600262,北方股份,-2.7697582
603012,创力集团,-2.2539806
002730,电光科技,-2.7733989
001360,南矿集团,-2.500843
002535,林州重机,-2.6607375
601608,中信重工,-2.045207
601798,蓝科高新,-2.9666119
600582,天地科技,-2.1101022
001225,和泰机电,-2.1096625
603169,兰石重装,-2.6433682
002278,神开股份,-2.5682392
601717,郑煤机,-2.1407237
603966,法兰泰克,-2.7137308
001288,运机集团,-2.4808474
603698,航天工程,-2.9702716
002526,山东矿机,-2.5625343
603173,福斯达,-2.4831338
603800,洪田股份,-2.6261687
002691,冀凯股份,-1.9674964
002816,和科达,-3.6700363
002786,银宝山新,-1.8024452
002595,豪迈科技,-2.3232899
002779,中坚科技,-2.8418455
002837,英维克,-2.710271
605259,绿田机械,-2.4067338
002690,美亚光电,-2.4428582
600579,克劳斯,-2.75556
002009,天奇股份,-3.9575424
002006,精工科技,-2.9259825
600444,国机通用,-2.6450152
002757,南兴股份,-2.5161767
002337,赛象科技,-2.6227174
603656,泰禾智能,-2.9364004
603289,泰瑞机器,-2.254187
002031,巨轮智能,-2.5938182
000856,冀东装备,-2.280188
603895,天永智能,-2.2464542
600499,科达制造,-2.3739104
603011,合锻智能,-2.4298005
603159,上海亚虹,-2.2639117
002073,软控股份,-2.9098735
603956,威派格,-2.0828314
603081,大丰实业,-2.8918605
603855,华荣股份,-2.372303
002833,弘亚数控,-2.2402658
600501,航天晨光,-4.0138745
002529,海源复材,-2.4491577
603076,乐惠国际,-2.2859325
603488,展鹏科技,-1.9053959
605286,同力日升,-3.7698665
603321,梅轮电梯,-2.0858603
603356,华菱精工,-3.7167406
600835,上海机电,-2.045238
002367,康力电梯,-1.8169359
002774,快意电梯,-2.1306734
002960,青鸟消防,-2.3431678
600894,广日股份,-2.4726405
002689,远大智能,-2.2076855
002722,物产金轮,-4.7928996
603337,杰克股份,-4.2326083
600232,金鹰股份,-2.3112278
603095,越剑智能,-2.6416426
002021,中捷资源,-2.730793
600545,卓郎智能,-2.7014275
003036,泰坦股份,-2.2615774
600302,标准股份,-3.1914415
600843,上工申贝,-2.813324
002890,弘宇股份,-1.6235737
601038,一拖股份,-2.013248
603029,天鹅股份,-2.2680726
603789,星光农机,-2.306365
001256,炜冈科技,-1.485938
002209,达 意 隆,-3.270339
603901,永创智能,-2.0474095
002611,东方精工,-0.292492
002134,天津普林,-5.484802
600460,士兰微,-1.7295647
600171,上海贝岭,-2.8077078
603160,汇顶科技,-2.6258202
603893,瑞芯微,-1.7745866
603290,斯达半导,-2.3283212
003026,中晶科技,-2.677773
002049,紫光国微,-2.2869482
002185,华天科技,-2.3446016
600584,长电科技,-2.46024
605358,立昂微,-2.3576765
603920,世运电路,-2.7177215
603005,晶方科技,-2.4323134
603068,博通集成,-2.321695
002119,康强电子,-2.0264072
600877,电科芯片,-2.3341749
002371,北方华创,-0.5890604
002077,大港股份,-1.8405856
603186,华正新材,-2.3409147
003043,华亚智能,-2.343648
605111,新洁能,-2.4287791
603690,至纯科技,-2.3341146
002079,苏州固锝,-2.6848354
603501,韦尔股份,-1.9477085
600206,有研新材,-1.8623447
002156,通富微电,-2.680005
600563,法拉电子,-2.1790872
603986,兆易创新,-1.884288
